Hong Kong International Airport   ,,,,,,,,,,,,,,,,,,,,
Civil International Air Transport,,,,,,,,,,,,,,,,,,,,
"Movements of Aircraft, Passenger and Freight",,,,,,,,,,,,,,,,,,,,
(1998 - 2020),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,Aircraft,0,0,0,Passenger @,,,,Freight β (Tonne),,,,,,,,,
Year,Month,,Landing,Take-off,Total,"Year-on-year 
% change",Arrival,Departure,Total,"Year-on-year 
% change",Unloaded,Loaded,Total,"Year-on-year 
% change",,,,,,
,Feb,, 7 091  , 7 098  , 14 189  ,+1.2     ,1 175 217  ,1 090 521  ,2 265 738  ,-10.8     , 70 601 , 80 263 , 150 864 ,+10.8     ,,,,,,
,Mar,, 8 170  , 8 169  , 16 339  ,+11.8     ,1 416 898  ,1 416 302  ,2 833 200  ,+12.8     , 81 772 , 106 799 , 188 571 ,-3.4     ,,,,,,
,Apr,, 8 327  , 8 322  , 16 649  ,+11.8     ,1 425 368  ,1 473 037  ,2 898 405  ,+0.7     , 74 299 , 90 546 , 164 845 ,-11.5     ,,,,,,
,May,, 8 410  , 8 402  , 16 812  ,+11.6     ,1 356 892  ,1 323 266  ,2 680 158  ,+1.0     , 73 159 , 85 913 , 159 071 ,-12.3     ,,,,,,
,Jun,, 8 227  , 8 233  , 16 460  ,+12.4     ,1 358 268  ,1 393 481  ,2 751 749  ,+4.6     , 75 419 , 88 867 , 164 286 ,-9.0     ,,,,,,
,Jul,, 8 379  , 8 368  , 16 747  ,+8.1     ,1 389 017  ,1 408 658  ,2 797 675  ,-4.7     , 72 311 , 89 937 , 162 248 ,-14.1     ,,,,,,
,Aug,, 8 602  , 8 607  , 17 209  ,+8.5     ,1 540 111  ,1 487 073  ,3 027 184  ,+1.7     , 70 463 , 97 253 , 167 716 ,-10.9     ,,,,,,
,Sep,, 8 295  , 8 290  , 16 585  ,+6.8     ,1 218 047  ,1 290 859  ,2 508 906  ,-6.8     , 77 194 , 105 242 , 182 436 ,-9.9     ,,,,,,
,Oct,, 8 475  , 8 474  , 16 949  ,+4.6     ,1 289 195  ,1 207 694  ,2 496 889  ,-11.1     , 76 396 , 122 144 , 198 540 ,-5.5     ,,,,,,
,Nov,, 7 932  , 7 929  , 15 861  ,+1.5     ,1 168 502  ,1 152 605  ,2 321 107  ,-8.0     , 77 284 , 126 505 , 203 789 ,-5.0     ,,,,,,
,Dec,, 8 279  , 8 281  , 16 560  ,+2.6     ,1 358 784  ,1 336 375  ,2 695 159  ,+0.2     , 79 558 , 109 438 , 188 996 ,-2.9     ,,,,,,
2002,Jan,, 7 921  , 7 925  , 15 846  ,-3.7     ,1 216 709  ,1 216 682  ,2 433 391  ,-11.5     , 71 385 , 95 303 , 166 688 ,+16.6     ,,,,,,
,Feb,, 7 687  , 7 682  , 15 369  ,+8.3     ,1 328 364  ,1 309 146  ,2 637 510  ,+16.4     , 67 339 , 81 702 , 149 040 ,-1.2     ,,,,,,
,Mar,, 8 340  , 8 348  , 16 688  ,+2.1     ,1 384 018  ,1 485 728  ,2 869 746  ,+1.3     , 86 461 , 125 499 , 211 960 ,+12.4     ,,,,,,
,Apr,, 8 375  , 8 369  , 16 744  ,+0.6     ,1 475 597  ,1 392 442  ,2 868 039  ,-1.0     , 81 233 , 115 705 , 196 938 ,+19.5     ,,,,,,
,May,, 8 509  , 8 512  , 17 021  ,+1.2     ,1 374 134  ,1 368 024  ,2 742 158  ,+2.3     , 84 516 , 113 675 , 198 192 ,+24.6     ,,,,,,
,Jun,, 8 308  , 8 302  , 16 610  ,+0.9     ,1 290 681  ,1 313 620  ,2 604 301  ,-5.4     , 86 755 , 118 435 , 205 190 ,+24.9     ,,,,,,
,Jul,, 8 803  , 8 814  , 17 617  ,+5.2     ,1 466 811  ,1 485 923  ,2 952 734  ,+5.5     , 84 937 , 123 822 , 208 759 ,+28.7     ,,,,,,
,Aug,, 9 162  , 9 161  , 18 323  ,+6.5     ,1 588 865  ,1 522 140  ,3 111 005  ,+2.8     , 83 356 , 124 275 , 207 631 ,+23.8     ,,,,,,
,Sep,, 8 795  , 8 798  , 17 593  ,+6.1     ,1 322 969  ,1 364 733  ,2 687 702  ,+7.1     , 85 333 , 132 405 , 217 738 ,+19.4     ,,,,,,
,Oct,, 9 361  , 9 346  , 18 707  ,+10.4     ,1 505 215  ,1 446 619  ,2 951 834  ,+18.2     , 90 907 , 158 398 , 249 305 ,+25.6     ,,,,,,
,Nov,, 8 997  , 8 999  , 17 996  ,+13.5     ,1 354 986  ,1 331 352  ,2 686 338  ,+15.7     , 91 908 , 160 401 , 252 310 ,+23.8     ,,,,,,
,Dec,, 9 097  , 9 090  , 18 187  ,+9.8     ,1 463 903  ,1 442 911  ,2 906 814  ,+7.9     , 89 428 , 125 639 , 215 067 ,+13.8     ,,,,,,
2003,Jan,, 9 073  , 9 073  , 18 146  ,+14.5     ,1 301 159  ,1 443 118  ,2 744 277  ,+12.8     , 80 704 , 117 405 , 198 108 ,+18.8     ,,,,,,
,Feb,, 8 314  , 8 317  , 16 631  ,+8.2     ,1 401 770  ,1 229 888  ,2 631 658  ,-0.2     , 72 053 , 87 920 , 159 973 ,+7.3     ,,,,,,
,Mar,, 9 049  , 9 059  , 18 108  ,+8.5     ,1 200 309  ,1 253 754  ,2 454 063  ,-14.5     , 92 566 , 143 878 , 236 444 ,+11.6     ,,,,,,
